,target,eventid,car_number,stageid,firststage,pit_in_caution,start_position,start_rank,start_rank_ratio,top_pack,bottom_pack,average_rank,average_rank_all,change_in_rank,change_in_rank_all,rate_of_change,rate_of_change_all,laptime_green_mean_prev,laptime_green_std_prev,laptime_green_mean_all,laptime_green_std_all,laptime_mean_prev,laptime_std_prev,laptime_mean_all,laptime_std_all,laps_prev,laps_after_last_pitstop,pittime_prev,prev_nb0_change_in_rank,prev_nb1_change_in_rank,prev_nb2_change_in_rank,follow_nb0_change_in_rank,follow_nb1_change_in_rank,follow_nb2_change_in_rank
0,0,0,1,0,0,0,7,7,0.30434782608695654,0,0,7.0,7.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
1,-5,0,1,1,1,1,7,7,0.30434782608695654,0,0,7.0256410256410255,7.0256410256410255,0,0.0,0,0.0,21.551166666666667,3.5385894966514506,21.551166666666667,3.5385894966514506,21.551166666666667,3.5385894966514506,21.551166666666667,3.5385894966514506,39,39,11.54325,-2,-1,1,3,0,-1
2,3,0,1,2,1,0,7,2,0.08695652173913043,1,0,2.3289473684210527,3.9217391304347826,-5,-2.5,0,0.0,22.67405373134329,1.9675223005300717,22.260916037735853,2.7105514038046494,25.73829868421053,9.062432849645857,24.3183147826087,7.902623422198846,76,72,59.635850000000005,1,0,0,-5,-5,1
3,-4,0,1,3,1,0,7,5,0.21739130434782608,1,0,5.7368421052631575,4.523255813953488,3,-0.6666666666666666,8,1.5,23.29355263157894,3.6807710528564144,22.62202208588957,3.123783896479536,23.29355263157894,3.6807710528564144,23.978713372093026,6.817461797873216,57,53,40.438499999999976,-1,-2,-3,-6,-8,-5
4,0,0,1,4,1,1,7,1,0.043478260869565216,1,0,3.0714285714285716,4.166666666666667,-4,-1.5,-7,-1.3333333333333333,23.021626785714293,3.4924796921636467,22.724204109589046,3.226792164928701,23.021626785714293,3.4924796921636467,23.743639473684212,6.1828611067720765,56,52,39.51240000000007,0,0,0,-1,-2,-3
5,-1,0,4,0,0,0,16,16,0.6956521739130435,0,0,16.0,16.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
6,-3,0,4,1,1,1,16,15,0.6521739130434783,0,0,15.025641025641026,15.025641025641026,-1,-1.0,0,0.0,21.715425641025643,3.567057864267812,21.715425641025643,3.567057864267812,21.715425641025643,3.567057864267812,21.715425641025643,3.567057864267812,39,39,12.0358,1,1,-2,-2,-3,1
7,3,0,4,2,1,1,16,12,0.5217391304347826,0,0,14.5,14.976744186046512,-3,-2.0,0,0.0,22.37119999999993,0.0,21.73182,3.5236751392686583,33.733799999999974,13.78146706994577,22.83341395348837,6.433862432711863,4,43,12.0358,1,-1,0,-2,1,-3
8,7,0,4,3,1,0,16,15,0.6521739130434783,0,0,16.887323943661972,16.166666666666668,3,-0.3333333333333333,6,2.0,22.650114062500002,0.8937294833077454,22.29692403846154,2.338081231171575,25.416905633802816,8.97808643162735,24.442430701754386,8.208757434830314,71,67,48.16750000000002,-6,3,-7,-4,-2,-3
9,-1,0,4,4,1,0,16,22,0.9565217391304348,0,1,10.6,15.932773109243698,7,1.5,4,2.6666666666666665,25.104240000000026,3.7859283187085966,22.425700000000003,2.4936482363039962,25.104240000000026,3.7859283187085966,24.47023781512605,8.072937388833891,5,1,126.40480000000002,-3,3,-2,0,0,0
10,-1,0,4,5,1,0,16,21,0.9130434782608695,0,1,21.660377358490567,17.697674418604652,-1,1.0,-8,0.0,26.9863641509434,26.920118639082933,23.917769135802473,15.679710189578472,26.9863641509434,26.920118639082933,25.245555813953487,16.423955943236493,53,49,35.70869999999991,-3,4,-2,0,0,0
11,-1,0,4,6,1,1,16,20,0.8695652173913043,0,1,20.041666666666668,18.20909090909091,-1,0.6666666666666666,0,0.0,23.214729787234027,4.354916414905747,23.759669377990427,13.96126079067656,23.209320833333322,4.309473482435719,24.80128636363636,14.685088460840928,48,44,41.837000000000444,-3,-1,0,0,0,0
12,3,0,5,0,0,0,5,5,0.21739130434782608,1,0,5.0,5.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
