,Year,Model,SignAcc,MAE,50-Risk,90-Risk
0,2018,CurRank,0.0972972972972973,4.145945945945946,0.2591216216216216,0.23398648648648657
1,2018,RandomForest,0.6216216216216216,3.3783783783783785,0.21114864864864866,0.2103378378378378
2,2018,SVM,0.6162162162162163,3.464864864864865,0.21655405405405406,0.2979054054054054
3,2018,XGBoost,0.5837837837837838,3.572972972972973,0.2233108108108108,0.2225
4,2018,RankNet-MLP,0.6810810810810811,3.8324324324324324,0.2402027027027027,0.16349999999999995
5,2018,RankNet-Oracle,0.7135135135135136,3.2756756756756755,0.20658783783783785,0.18866216216216217
6,2019,CurRank,0.15165876777251186,4.327014218009479,0.2799746915533059,0.26200569440050614
7,2019,RandomForest,0.5687203791469194,4.085308056872038,0.2647896235368554,0.26605504587155965
8,2019,SVM,0.5734597156398105,4.786729857819905,0.31002847200253086,0.4234103131920278
9,2019,XGBoost,0.5734597156398105,4.464454976303317,0.29041442581461563,0.35419171148370765
10,2019,RankNet-MLP,0.6161137440758294,4.331753554502369,0.28630180322682697,0.2231066118316988
11,2019,RankNet-Oracle,0.6635071090047393,3.6161137440758293,0.2336285985447643,0.21491300221448903
